# N  NRg++4.1.2 Arpack4.1.2 Eigen4.1.2 NR4.8.2 Eigen4.8.2
100  0.01  0.01  0 0.01  0
300  0.16  0.26  0.13  0.14 0.04
500  2.09  1.23  0.57  0.84 0.21
700  7.37  4.85  1.98  4.76 0.58
900  16.78  16.56  5.68  11.49 1.27
1100  32.34  35.76  12.2  22.13 2.53
1300  54.51  61.43  21.52  37.64 4.88
1500  85.36  97.96  33.73  61.72 7.82
1700  128.02  146.89  49.43  93.68 12.55
1900  180.63  175.43  70.1  139.8 18.29
2100  252.85  299.08  96.28  191.97 24.62
2300  337.57  318.52  126.2  267.34 34.37
2500  422.95  411.3  158.43  336.7 41.81
2700  563.1  679.33  204.45  450.39 55.01
2900  702.48  653.87  250.54  565.41 67.91
3100  877.09  802.8  308.22  711.37 84.23
3300  1085.16  976.84  369.35  878.1 100.51
3500  1301.43  1164.84  440.59  1059.4 122.36
3700  1554.78  1386.32  519  1278.84 144.07
3900  1827.01  1604.07  594.14  1497.35 159.3
