# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.01
# r_zeros=0.98
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0012316           0.0018189           0.0036602           1.04361e-14         8.49049e-14         8.23785e-15         1.04213e+76         275.2               1                   
123                 0.0023007           0.0035741           0.0073932           1.26121e-14         3.85185e-14         8.63754e-15         8.84915e+75         438.6               1                   
146                 0.0021106           0.0056732           0.0125833           1.52323e-14         9.99468e-14         1.41664e-14         7.13787e+75         370.1               1                   
169                 0.0021155           0.0091751           0.0199513           2.00728e-14         5.51309e-15         1.87406e-14         6.57754e+75         329.9               1                   
192                 0.0031386           0.0129757           0.0436189           1.61204e-14         1.04675e-13         1.46994e-14         4.94529e+75         436.1               1                   
215                 0.0016587           0.019308            0.0492157           3.11307e-14         1.78496e-13         3.13305e-14         3.55455e+75         49.9                2                   
238                 0.0019443           0.0248912           0.0662941           4.24105e-14         2.5669e-13          4.20997e-14         3.04392e+75         53.9                2                   
261                 0.0026747           0.0343553           0.0964591           4.45644e-14         6.93125e-14         4.78062e-14         6.05133e+75         68.5                2                   
284                 0.0027517           0.0422974           0.125162            5.23359e-14         2.87351e-14         5.1692e-14          6.36467e+75         67                  2                   
307                 0.0029354           0.0557442           0.189004            4.6955e-14          1.19761e-13         4.63037e-14         6.43706e+75         37.7                3                   
330                 0.0032181           0.0658099           0.213085            7.71975e-14         3.52183e-13         7.4459e-14          6.89798e+75         38.7                3                   
353                 0.0035099           0.0827735           0.283888            6.94259e-14         2.73087e-13         6.96776e-14         5.28983e+75         39                  3                   
376                 0.0037711           0.0961895           0.343092            8.21121e-14         2.12341e-13         8.19345e-14         7.81665e+75         39.1                3                   
399                 0.0043524           0.117367            0.420896            7.16168e-14         1.60561e-13         7.1528e-14          7.65797e+75         42.4                3                   
422                 0.0048525           0.13392             0.498138            7.3952e-14          3.28609e-13         7.39631e-14         6.33838e+75         30.7                4                   
445                 0.0052514           0.160671            0.59385             8.14127e-14         1.61953e-13         8.51541e-14         5.77659e+75         31.1                4                   
468                 0.0056136           0.179926            0.692105            1.01286e-13         2.20384e-13         1.01608e-13         6.03702e+75         32.3                4                   
491                 0.0065726           0.214709            0.819217            1.13509e-13         2.9675e-13          1.11489e-13         5.74367e+75         35.4                4                   
514                 0.0070007           0.250272            1.08331             1.14806e-13         7.54758e-13         1.12852e-13         6.66818e+75         26.8                5                   
537                 0.0073648           0.276984            1.36359             1.19584e-13         5.47703e-13         1.1922e-13          6.90009e+75         26.5                5                   
560                 0.0084251           0.30578             1.88573             1.47091e-13         4.42828e-13         1.41656e-13         7.18857e+75         28.1                5                   
583                 0.0082273           0.35797             1.92213             1.50742e-13         3.86639e-13         1.4901e-13          6.23976e+75         27.3                5                   
606                 0.0096161           0.393529            2.65714             1.40199e-13         5.55424e-13         1.40229e-13         5.88514e+75         24.6                6                   
629                 0.0106858           0.455396            3.17356             1.24789e-13         2.75478e-13         1.27957e-13         6.86039e+75         25.5                6                   
652                 0.0099551           0.477731            3.29469             1.69524e-13         5.57762e-13         1.68709e-13         6.36383e+75         22.9                6                   
675                 0.0113949           0.542737            3.86098             1.46031e-13         5.43663e-13         1.49791e-13         5.3051e+75          25                  6                   
698                 0.011181            0.581289            4.73336             1.58333e-13         2.47624e-13         1.54439e-13         5.87255e+75         24.2                6                   
721                 0.0134742           0.663794            5.7412              1.50051e-13         3.75306e-13         1.49937e-13         5.52533e+75         21.9                7                   
744                 0.0139142           0.730434            6.06435             1.97239e-13         4.61778e-13         1.94092e-13         5.16707e+75         22.6                7                   
767                 0.0148077           0.851249            7.7346              1.8856e-13          1.13184e-12         1.86378e-13         5.42157e+75         22.1                7                   
790                 0.0150312           0.940001            8.00146             2.05626e-13         5.3965e-13          2.07808e-13         4.96168e+75         22.2                7                   
813                 0.0178015           1.07952             9.83612             2.08333e-13         3.99086e-13         2.08566e-13         4.42232e+75         20.7                8                   
836                 0.0180062           1.18101             9.96578             1.98586e-13         4.77796e-13         1.98552e-13         4.54304e+75         20.1                8                   
859                 0.0191589           1.3497              12.4667             2.28495e-13         1.82279e-12         2.23399e-13         4.65013e+75         20.8                8                   
882                 0.019776            1.47978             12.861              2.37166e-13         5.61712e-13         2.32658e-13         4.78156e+75         21.1                8                   
905                 0.0212159           1.66044             15.34               2.03265e-13         4.76183e-13         2.06857e-13         4.71414e+75         17.9                9                   
928                 0.0233361           1.78586             14.7083             2.37647e-13         4.59683e-13         2.37213e-13         3.74328e+75         18.6                9                   
951                 0.0246465           2.02463             18.6855             2.60434e-13         4.46561e-13         2.54848e-13         4.96774e+75         18.9                9                   
974                 0.0256216           2.11698             17.9803             2.44752e-13         5.3098e-13          2.43766e-13         4.63933e+75         19.7                9                   
997                 0.0262083           2.35376             21.3906             2.45423e-13         4.65172e-13         2.43785e-13         4.86052e+75         19.1                9                   
