# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=1
# r_zeros=0.9
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0082611           0.0023535           0.0047655           3.28593e-15         3.39469e-13         3.34139e-15         3.39398e-13         1                   99                  
123                 0.0135246           0.0042564           0.0086983           3.95358e-15         1.83362e-13         3.96882e-15         1.8335e-13          1                   122                 
146                 0.0200248           0.0064253           0.0143353           4.96901e-15         3.80347e-13         4.93183e-15         3.80608e-13         1                   145                 
169                 0.0298454           0.0100191           0.0217187           5.06817e-15         2.33245e-13         5.34705e-15         2.33199e-13         1                   168                 
192                 0.0392607           0.0138859           0.0469737           6.18231e-15         5.17639e-13         6.41822e-15         5.18243e-13         1                   191                 
215                 0.0538969           0.0200067           0.0513763           6.49722e-15         2.67872e-13         6.62554e-15         2.67915e-13         1                   214                 
238                 0.0731794           0.0259163           0.068302            7.87039e-15         3.59266e-13         7.89921e-15         3.59018e-13         1                   237                 
261                 0.0959608           0.0352303           0.0985637           8.08007e-15         3.62148e-13         8.08945e-15         3.61874e-13         1                   260                 
284                 0.121947            0.043029            0.126854            8.89535e-15         5.0048e-13          8.96264e-15         5.00726e-13         1                   283                 
307                 0.155146            0.0560648           0.191531            9.63372e-15         4.62298e-13         9.67877e-15         4.62416e-13         1                   306                 
330                 0.189709            0.0665161           0.216822            1.0398e-14          3.96493e-13         1.06425e-14         3.96815e-13         1                   329                 
353                 0.228926            0.0837673           0.285457            1.09852e-14         4.42221e-13         1.1116e-14          4.41752e-13         1                   352                 
376                 0.269253            0.0980351           0.344917            1.08024e-14         5.05717e-13         1.11906e-14         5.06177e-13         1                   375                 
399                 0.308859            0.118738            0.421523            1.25905e-14         5.31615e-13         1.28582e-14         5.31965e-13         1                   398                 
422                 0.362654            0.134312            0.501152            1.2363e-14          5.92941e-13         1.23604e-14         5.92879e-13         1                   421                 
445                 0.411612            0.16342             0.594611            1.32214e-14         5.03902e-13         1.36727e-14         5.03989e-13         1                   444                 
468                 0.453285            0.181189            0.694106            1.42931e-14         7.01758e-13         1.45338e-14         7.01455e-13         1                   467                 
491                 0.515045            0.214428            0.821305            1.50597e-14         5.74401e-13         1.5476e-14          5.75597e-13         1                   490                 
514                 0.604888            0.252571            1.0772              1.53612e-14         6.98337e-13         1.55194e-14         6.9892e-13          1                   513                 
537                 0.658229            0.279115            1.37132             1.56616e-14         7.19064e-13         1.62352e-14         7.19845e-13         1                   536                 
560                 0.719649            0.304755            1.88882             1.67798e-14         6.06681e-13         1.72179e-14         6.07028e-13         1                   559                 
583                 0.799142            0.354736            1.8902              1.8145e-14          6.75467e-13         1.86753e-14         6.75211e-13         1                   582                 
606                 0.903396            0.385414            2.52935             1.87151e-14         6.63989e-13         1.90282e-14         6.63552e-13         1                   605                 
629                 0.986798            0.443418            3.10333             1.98522e-14         6.0093e-13          2.02747e-14         6.009e-13           1                   628                 
652                 1.11856             0.478276            3.29188             2.03965e-14         7.14297e-13         2.05631e-14         7.13914e-13         1                   651                 
675                 1.20749             0.544643            3.84135             2.00038e-14         6.16429e-13         2.05196e-14         6.1642e-13          1                   674                 
698                 1.3541              0.584121            4.69797             2.15005e-14         6.98459e-13         2.20068e-14         6.98768e-13         1                   697                 
721                 1.50399             0.664611            5.63601             2.15734e-14         6.24587e-13         2.19275e-14         6.25044e-13         1                   720                 
744                 1.642               0.726505            6.04402             2.30951e-14         1.13088e-12         2.34428e-14         1.13116e-12         1                   743                 
767                 1.89366             0.849142            7.61888             2.27445e-14         6.69411e-13         2.31893e-14         6.69521e-13         1                   766                 
790                 2.15137             0.938387            7.99091             2.3411e-14          7.77691e-13         2.37978e-14         7.77923e-13         1                   789                 
813                 2.40573             1.08997             9.87632             2.45595e-14         7.83068e-13         2.52556e-14         7.81869e-13         1                   812                 
836                 2.69652             1.18206             9.98127             2.56555e-14         8.41833e-13         2.59521e-14         8.41649e-13         1                   835                 
859                 3.09691             1.34205             12.3929             2.60528e-14         9.21498e-13         2.64073e-14         9.21297e-13         1                   858                 
882                 3.42303             1.45675             12.664              2.61169e-14         7.24793e-13         2.68477e-14         7.2487e-13          1                   881                 
905                 3.8194              1.64646             15.2208             2.73046e-14         8.43619e-13         2.76433e-14         8.44104e-13         1                   904                 
928                 4.19733             1.76677             14.5292             2.77072e-14         7.90059e-13         2.89347e-14         7.9086e-13          1                   927                 
951                 4.58536             2.01615             18.293              2.93625e-14         9.63783e-13         3.01566e-14         9.63115e-13         1                   950                 
974                 5.08047             2.11992             17.9965             2.91132e-14         8.93827e-13         2.99318e-14         8.93327e-13         1                   973                 
997                 5.40773             2.37435             21.9227             2.93314e-14         8.8816e-13          3.02185e-14         8.88872e-13         1                   996                 
